start_time,end_time,open,high,low,close,volume
1535031000,1535117400,63.828,65.464,63.62,64.02,25736430
1535117400,1535376600,64.14,64.77,63.88,64.564,18012820
1535376600,1535463000,63.6,64.487,61.762,63.854,65396440
1535463000,1535549400,63.682,63.776,62.238,62.372,38245455
1535549400,1535635800,62.054,62.37,60.738,61.002,37236960
1535635800,1535722200,60.452,60.92,59.544,60.63,36083530
1535722200,1536067800,60.4,61.06164,59.72,60.332,26875520
1536067800,1536154200,59.388,59.638,57.6,57.79,41752345
1536154200,1536240600,57.01,57.356,55.436,56.148,38604105
1536240600,1536327000,56.96,58.234,55.776,56.19,37403800
1536327000,1536586200,52.02,53.67,50.45096,52.648,112459655
1536586200,1536672600,54.652,57.206,54.2,57.1,71417640
1536672600,1536759000,55.894,56.4,54.71,55.888,45849945
1536759000,1536845400,56.288,58.5,55.72926,58.108,50077135
1536845400,1536931800,57.604,59,57.036,57.892,31701680
1536931800,1537191000,57.752,59.46512,57.304,59.04,33828060
1537191000,1537277400,58.008,60.174,57.626,58.968,34437885
1537277400,1537363800,59.338,60.528,55.1,56.992,82737610
1537363800,1537450200,56.102,60,56.1,59.804,41474585
1537450200,1537536600,60.712,61.196,58.666,59.666,36747110
1537536600,1537795800,59.54,60.116,59.074,59.82,25252390
1537795800,1537882200,59.696,60.59986,58.716,59.936,24214805
1537882200,1537968600,60,60.92,59.3,60.198,22408645
1537968600,1538055000,60.382,62.778,60.22186,61.916,39216080
1538055000,1538141400,62.58,62.992,61.382,61.504,42545420
1538141400,1538400600,54.052,55.6,52.111,52.954,168248470
1538400600,1538487000,61.154,62.288,60.21,62.14,108887985
1538487000,1538573400,62.79,63.368,59.83,60.204,58717555
1538573400,1538659800,60.666,60.92,58.314,58.96,39974940
1538659800,1538746200,58.79,58.8,55.534,56.366,49071060
1538746200,1539005400,54.93,54.976,52,52.39,89722685
1539005400,1539091800,52.904,53.55198,49.8,50.112,67363265
1539091800,1539178200,51.05,53.354,50.66,52.56,60302870
